"KEWR","Newark Liberty International Airport","US",18
"KPHF","Newport News Williamsburg International Airport","US",42
"KORF","Norfolk International Airport","US",26
"KSJC","Norman Y. Mineta San Jose International Airport","US",62
"KONT","Ontario International Airport","US",944
"KMCO","Orlando International Airport","US",96
"KSFB","Orlando Sanford International Airport","US",55
"KPBI","Palm Beach International Airport","US",19
"KPHL","Philadelphia International Airport","US",36
"KPHX","Phoenix Sky Harbor International Airport","US",1135
"KGSO","Piedmont Triad International Airport","US",925
"KPIT","Pittsburgh International Airport","US",1203
"KPDX","Portland International Airport","US",31
"KPWM","Portland International Jetport Airport","US",76
"KMLI","Quad City International Airport","US",590
"KRDU","Raleigh Durham International Airport","US",435
"KRND","Randolph Air Force Base","US",761
"KHIB","Range Regional Airport","US",1354
"KRNO","Reno Tahoe International Airport","US",4415
"KRIC","Richmond International Airport","US",167
"KAMA","Rick Husband Amarillo International Airport","US",3607
"KLCK","Rickenbacker International Airport","US",744
"KROA","Roanoke–Blacksburg Regional Airport","US",1175
"KWRB","Robins Air Force Base","US",294
"KRST","Rochester International Airport","US",1317
"KDCA","Ronald Reagan Washington National Airport","US",15
"KSMF","Sacramento International Airport","US",27
"KSLC","Salt Lake City International Airport","US",4227
"KSAT","San Antonio International Airport","US",809
"KSAN","San Diego International Airport","US",17
"KSFO","San Francisco International Airport","US",13
"KSRQ","Sarasota Bradenton International Airport","US",30
"KSAV","Savannah Hilton Head International Airport","US",50
"KBLV","Scott AFB/Midamerica Airport","US",459
"KSEA","Seattle Tacoma International Airport","US",433
"KGSB","Seymour Johnson Air Force Base","US",109
"KSSC","Shaw Air Force Base","US",241
"KSPS","Sheppard Air Force Base-Wichita Falls Municipal Airport","US",1019
"KSUX","Sioux Gateway Col. Bud Day Field","US",1098
"KSBN","South Bend Regional Airport","US",799
"KRSW","Southwest Florida International Airport","US",30
"KSUS","Spirit of St Louis Airport","US",463
"KGEG","Spokane International Airport","US",2376
"KSGF","Springfield Branson National Airport","US",1268
"KSTL","St Louis Lambert International Airport","US",618
"KSYR","Syracuse Hancock International Airport","US",421
"KTLH","Tallahassee Regional Airport","US",81
"KTPA","Tampa International Airport","US",26
"PANC","Ted Stevens Anchorage International Airport","US",152
"KCID","The Eastern Iowa Airport","US",869
"KPVD","Theodore Francis Green State Airport","US",55
"KTIK","Tinker Air Force Base","US",1291
"KTOL","Toledo Express Airport","US",683
"KSUU","Travis Air Force Base","US",62
"KTRI","Tri-Cities Regional TN/VA Airport","US",1519
"KHTS","Tri-State/Milton J. Ferguson Field","US",828
"KTUS","Tucson International Airport","US",2643
"KTUL","Tulsa International Airport","US",677
"KPAM","Tyndall Air Force Base","US",17
"KEND","Vance Air Force Base","US",1307
"KVBG","Vandenberg Air Force Base","US",369
"KIAD","Washington Dulles International Airport","US",312
"KSZL","Whiteman Air Force Base","US",870
"KICT","Wichita Eisenhower National Airport","US",1333
"KOKC","Will Rogers World Airport","US",1295
"KHOU","William P Hobby Airport","US",46
"KFFO","Wright-Patterson Air Force Base","US",823
"KCRW","Yeager Airport","US",981
"HUEN","Entebbe International Airport","UG",3782
"UKBB","Boryspil International Airport","UA",427
"UKHH","Kharkiv International Airport","UA",508
"UKOO","Odessa International Airport","UA",172
"UKFF","Simferopol International Airport","UA",639
"HTZA","Abeid Amani Karume International Airport","TZ",54
"HTDA","Julius Nyerere International Airport","TZ",182
"RCKH","Kaohsiung International Airport","TW",31
"RCBS","Kinmen Airport","TW",93
"RCTP","Taiwan Taoyuan International Airport","TW",106
"LTAF","Adana Airport","TR",65
"LTBJ","Adnan Menderes International Airport","TR",412
"LTAI","Antalya International Airport","TR",177
"LTBA","Atatürk International Airport","TR",163
"LTBS","Dalaman International Airport","TR",20
"LTCE","Erzurum International Airport","TR",5763
"LTAC","Esenboğa International Airport","TR",3125
"LTAJ","Gaziantep International Airport","TR",2315
"TR-0043","Istanbul Airport","TR",325
"LTFE","Milas Bodrum International Airport","TR",21
"LTFC","Süleyman Demirel International Airport","TR",2835
"LTFJ","Sabiha Gökçen International Airport","TR",312
"LTCG","Trabzon International Airport","TR",104
"TN-0002","Enfidha - Hammamet International Airport","TN",21
"DTTA","Tunis Carthage International Airport","TN",22
"UTAA","Ashgabat International Airport","TM",692
"VTCC","Chiang Mai International Airport","TH",1036
"VTBD","Don Mueang International Airport","TH",9
"VTSP","Phuket International Airport","TH",82
"VTBS","Suvarnabhumi Airport","TH",5
"FTTJ","N'Djamena International Airport","TD",968
"OSAP","Aleppo International Airport","SY",1276
"OSLK","Bassel Al-Assad International Airport","SY",157
"OSDI","Damascus International Airport","SY",2020
"TNCM","Princess Juliana International Airport","SX",13
"MSLP","Monseñor Óscar Arnulfo Romero International Airport","SV",101
"HSSJ","Juba International Airport","SS",1513
"GOBD","Blaise Diagne International Airport","SN",290
"GOOY","Léopold Sédar Senghor International Airport","SN",85
"GFLL","Lungi International Airport","SL",84
"LZIB","M. R. Štefánik Airport","SK",436
"LJLJ","Ljubljana Jože Pučnik Airport","SI",1273
"WSSS","Singapore Changi Airport","SG",22
"ESGG","Gothenburg-Landvetter Airport","SE",506
