”code”,”name”,”elevation_ft”,”iso_country”
”KMIA”,”Miami International Airport”,8,”US”
”KMSP”,”Minneapolis-St Paul International/Wold-Chamberlain Airport”,841,”US”
”KMOB”,”Mobile Regional Airport”,219,”US”
”KMLU”,”Monroe Regional Airport”,79,”US”
”KMGM”,”Montgomery Regional (Dannelly Field) Airport”,221,”US”
”KMUO”,”Mountain Home Air Force Base”,2996,”US”
”KBNA”,”Nashville International Airport”,599,”US”
”KEWR”,”Newark Liberty International Airport”,18,”US”
”KPHF”,”Newport News Williamsburg International Airport”,42,”US”
”KORF”,”Norfolk International Airport”,26,”US”
”KSJC”,”Norman Y. Mineta San Jose International Airport”,62,”US”
”KONT”,”Ontario International Airport”,944,”US”
”KMCO”,”Orlando International Airport”,96,”US”
”KSFB”,”Orlando Sanford International Airport”,55,”US”
”KPBI”,”Palm Beach International Airport”,19,”US”
”KPHL”,”Philadelphia International Airport”,36,”US”
”KPHX”,”Phoenix Sky Harbor International Airport”,1135,”US”
”KGSO”,”Piedmont Triad International Airport”,925,”US”
”KPIT”,”Pittsburgh International Airport”,1203,”US”
”KPDX”,”Portland International Airport”,31,”US”
”KPWM”,”Portland International Jetport Airport”,76,”US”
”KMLI”,”Quad City International Airport”,590,”US”
”KRDU”,”Raleigh Durham International Airport”,435,”US”
”KRND”,”Randolph Air Force Base”,761,”US”
”KHIB”,”Range Regional Airport”,1354,”US”
”KRNO”,”Reno Tahoe International Airport”,4415,”US”
”KRIC”,”Richmond International Airport”,167,”US”
”KAMA”,”Rick Husband Amarillo International Airport”,3607,”US”
”KLCK”,”Rickenbacker International Airport”,744,”US”
”KROA”,”Roanoke‚ÄìBlacksburg Regional Airport”,1175,”US”
”KWRB”,”Robins Air Force Base”,294,”US”
”KRST”,”Rochester International Airport”,1317,”US”
”KDCA”,”Ronald Reagan Washington National Airport”,15,”US”
”KSMF”,”Sacramento International Airport”,27,”US”
”KSLC”,”Salt Lake City International Airport”,4227,”US”
”KSAT”,”San Antonio International Airport”,809,”US”
”KSAN”,”San Diego International Airport”,17,”US”
”KSFO”,”San Francisco International Airport”,13,”US”
”KSRQ”,”Sarasota Bradenton International Airport”,30,”US”
”KSAV”,”Savannah Hilton Head International Airport”,50,”US”
”KBLV”,”Scott AFB/Midamerica Airport”,459,”US”
”KSEA”,”Seattle Tacoma International Airport”,433,”US”
”KGSB”,”Seymour Johnson Air Force Base”,109,”US”
”KSSC”,”Shaw Air Force Base”,241,”US”
”KSPS”,”Sheppard Air Force Base-Wichita Falls Municipal Airport”,1019,”US”
”KSUX”,”Sioux Gateway Col. Bud Day Field”,1098,”US”
”KSBN”,”South Bend Regional Airport”,799,”US”
”KRSW”,”Southwest Florida International Airport”,30,”US”
”KSUS”,”Spirit of St Louis Airport”,463,”US”
”KGEG”,”Spokane International Airport”,2376,”US”
”KSGF”,”Springfield Branson National Airport”,1268,”US”
”KSTL”,”St Louis Lambert International Airport”,618,”US”
”KSYR”,”Syracuse Hancock International Airport”,421,”US”
”KTLH”,”Tallahassee Regional Airport”,81,”US”
”KTPA”,”Tampa International Airport”,26,”US”
”PANC”,”Ted Stevens Anchorage International Airport”,152,”US”
”KCID”,”The Eastern Iowa Airport”,869,”US”
”KPVD”,”Theodore Francis Green State Airport”,55,”US”
”KTIK”,”Tinker Air Force Base”,1291,”US”
”KTOL”,”Toledo Express Airport”,683,”US”
”KSUU”,”Travis Air Force Base”,62,”US”
”KTRI”,”Tri-Cities Regional TN/VA Airport”,1519,”US”
”KHTS”,”Tri-State/Milton J. Ferguson Field”,828,”US”
”KTUS”,”Tucson International Airport”,2643,”US”
”KTUL”,”Tulsa International Airport”,677,”US”
”KPAM”,”Tyndall Air Force Base”,17,”US”
”KEND”,”Vance Air Force Base”,1307,”US”
”KVBG”,”Vandenberg Air Force Base”,369,”US”
”KIAD”,”Washington Dulles International Airport”,312,”US”
”KSZL”,”Whiteman Air Force Base”,870,”US”
”KICT”,”Wichita Eisenhower National Airport”,1333,”US”
