”code”,”name”,”elevation_ft”,”iso_country”
”SELT”,”Cotopaxi International Airport”,9205,”EC”
”SEQM”,”Mariscal Sucre International Airport”,7841,”EC”
”DAAG”,”Houari Boumediene Airport”,82,”DZ”
”MDSD”,”Las Am√©ricas International Airport”,59,”DO”
”MDPC”,”Punta Cana International Airport”,47,”DO”
”EKYT”,”Aalborg Airport”,10,”DK”
”EKBI”,”Billund Airport”,247,”DK”
”EKCH”,”Copenhagen Kastrup Airport”,17,”DK”
”EDDB”,”Berlin-Sch√∂nefeld Airport”,157,”DE”
”EDDT”,”Berlin-Tegel Airport”,122,”DE”
”EDDW”,”Bremen Airport”,14,”DE”
”EDDK”,”Cologne Bonn Airport”,302,”DE”
”EDDL”,”D√ºsseldorf Airport”,147,”DE”
”EDLW”,”Dortmund Airport”,425,”DE”
”EDDC”,”Dresden Airport”,755,”DE”
”EDDF”,”Frankfurt am Main Airport”,364,”DE”
”EDDH”,”Hamburg Airport”,53,”DE”
”EDDV”,”Hannover Airport”,183,”DE”
”EDSB”,”Karlsruhe Baden-Baden Airport”,408,”DE”
”EDDP”,”Leipzig/Halle Airport”,465,”DE”
”EDDG”,”M√ºnster Osnabr√ºck Airport”,160,”DE”
”EDDM”,”Munich Airport”,1487,”DE”
”EDDN”,”Nuremberg Airport”,1046,”DE”
”ETAR”,”Ramstein Air Base”,776,”DE”
”EDDS”,”Stuttgart Airport”,1276,”DE”
”LKPR”,”V√°clav Havel Airport Prague”,1247,”CZ”
”LCLK”,”Larnaca International Airport”,8,”CY”
”LCPH”,”Paphos International Airport”,41,”CY”
”GVAC”,”Am√≠lcar Cabral International Airport”,177,”CV”
”MUHA”,”Jos√© Mart√≠ International Airport”,210,”CU”
”MUVR”,”Juan Gualberto Gomez International Airport”,210,”CU”
”MRLB”,”Daniel Oduber Quiros International Airport”,270,”CR”
”SKBO”,”El Dorado International Airport”,8361,”CO”
”ZWWW”,”√úr√ºmqi Diwopu International Airport”,2125,”CN”
”ZBHH”,”Baita International Airport”,3556,”CN”
”ZBAA”,”Beijing Capital International Airport”,116,”CN”
”ZBAD”,”Beijing Daxing International Airport”,98,”CN”
”ZBNY”,”Beijing Nanyuan Airport”,,”CN”
”ZGHA”,”Changsha Huanghua International Airport”,217,”CN”
”ZUUU”,”Chengdu Shuangliu International Airport”,1625,”CN”
”ZUCK”,”Chongqing Jiangbei International Airport”,1365,”CN”
”ZSFZ”,”Fuzhou Changle International Airport”,46,”CN”
”ZGGG”,”Guangzhou Baiyun International Airport”,50,”CN”
”ZGKL”,”Guilin Liangjiang International Airport”,570,”CN”
”CN-0083”,”Guodu air base”,,”CN”
”ZJHK”,”Haikou Meilan International Airport”,75,”CN”
”ZSHC”,”Hangzhou Xiaoshan International Airport”,23,”CN”
”ZPPP”,”Kunming Changshui International Airport”,6903,”CN”
”ZUGY”,”Longdongbao Airport”,3736,”CN”
”ZSNJ”,”Nanjing Lukou Airport”,49,”CN”
”ZGNN”,”Nanning Wuxu Airport”,421,”CN”
”ZSNB”,”Ningbo Lishe International Airport”,13,”CN”
”ZJSY”,”Sanya Phoenix International Airport”,92,”CN”
”ZSSS”,”Shanghai Hongqiao International Airport”,10,”CN”
”ZSPD”,”Shanghai Pudong International Airport”,13,”CN”
”ZGSZ”,”Shenzhen Bao'an International Airport”,13,”CN”
”ZYHB”,”Taiping Airport”,457,”CN”
”ZBYN”,”Taiyuan Wusu Airport”,2575,”CN”
”ZYTX”,”Taoxian Airport”,198,”CN”
”ZBTJ”,”Tianjin Binhai International Airport”,10,”CN”
”ZSWZ”,”Wenzhou Longwan International Airport”,,”CN”
”ZHHH”,”Wuhan Tianhe International Airport”,113,”CN”
”ZLXY”,”Xi'an Xianyang International Airport”,1572,”CN”
”ZSAM”,”Xiamen Gaoqi International Airport”,59,”CN”
”ZSJN”,”Yaoqiang Airport”,76,”CN”
”ZHCC”,”Zhengzhou Xinzheng International Airport”,495,”CN”
”ZYTL”,”Zhoushuizi Airport”,107,”CN”
”SCEL”,”Comodoro Arturo Merino Ben√≠tez International Airport”,1555,”CL”
”NCRG”,”Rarotonga International Airport”,19,”CK”
”LSGG”,”Geneva Cointrin International Airport”,1411,”CH”
”LSZH”,”Z√ºrich Airport”,1416,”CH”
”FZAA”,”Ndjili International Airport”,1027,”CD”
”CYYC”,”Calgary International Airport”,3557,”CA”
”CA-0671”,”Cyll”,,”CA”
”CYEG”,”Edmonton International Airport”,2373,”CA”
”CYHZ”,”Halifax / Stanfield International Airport”,477,”CA”
”CYYZ”,”Lester B. Pearson International Airport”,569,”CA”
”CYUL”,”Montreal / Pierre Elliott Trudeau International Airport”,118,”CA”
”CYOW”,”Ottawa Macdonald-Cartier International Airport”,374,”CA”
”CYYT”,”St. John's International Airport”,461,”CA”
”CYVR”,”Vancouver International Airport”,14,”CA”
”CYYJ”,”Victoria International Airport”,63,”CA”
”CYWG”,”Winnipeg / James Armstrong Richardson International Airport”,783,”CA”
”MZBZ”,”Philip S. W. Goldson International Airport”,15,”BZ”
”UMMS”,”Minsk National Airport”,670,”BY”
”FBSK”,”Sir Seretse Khama International Airport”,3299,”BW”
”MYNN”,”Lynden Pindling International Airport”,16,”BS”
”SBCT”,”Afonso Pena Airport”,2988,”BR”
”SBSP”,”Congonhas Airport”,2631,”BR”
”SBSV”,”Deputado Luiz Eduardo Magalh√£es International Airport”,64,”BR”
”SBSG”,”Governador Alu√≠zio Alves International Airport”,272,”BR”
”SBGR”,”Guarulhos - Governador Andr√© Franco Montoro International Airport”,2459,”BR”
”SBFL”,”Herc√≠lio Luz International Airport”,16,”BR”
”SBBR”,”Presidente Juscelino Kubistschek International Airport”,3497,”BR”
”SBGL”,”Rio Gale√£o ‚Äì Tom Jobim International Airport”,28,”BR”
”SBCF”,”Tancredo Neves International Airport”,2715,”BR”
”SBBE”,”Val de Cans/J√∫lio Cezar Ribeiro International Airport”,54,”BR”
”SLVR”,”Viru Viru International Airport”,1224,”BO”
”WBSB”,”Brunei International Airport”,73,”BN”
”OBBI”,”Bahrain International Airport”,6,”BH”
”LBBG”,”Burgas Airport”,135,”BG”
”LBSF”,”Sofia Airport”,1742,”BG”
”LBWN”,”Varna Airport”,230,”BG”
”DFFD”,”Ouagadougou Airport”,1037,”BF”
”EBBR”,”Brussels Airport”,184,”BE”
”EBCI”,”Brussels South Charleroi Airport”,614,”BE”
”EBLG”,”Li√®ge Airport”,659,”BE”
”VGZR”,”Hazrat Shahjalal International Airport”,30,”BD”
”LQSA”,”Sarajevo International Airport”,1708,”BA”
”UBBB”,”Heydar Aliyev International Airport”,10,”AZ”
”YPAD”,”Adelaide International Airport”,20,”AU”
”YBBN”,”Brisbane International Airport”,13,”AU”
”YSCB”,”Canberra International Airport”,1886,”AU”
”YMML”,”Melbourne International Airport”,434,”AU”
”YPPH”,”Perth International Airport”,67,”AU”
”YSSY”,”Sydney Kingsford Smith International Airport”,21,”AU”
”LOWW”,”Vienna International Airport”,600,”AT”
”SAEZ”,”Ministro Pistarini International Airport”,67,”AR”
”FNLU”,”Quatro de Fevereiro Airport”,243,”AO”
”UDYZ”,”Zvartnots International Airport”,2838,”AM”
”LATI”,”Tirana International Airport Mother Teresa”,126,”AL”
”OMAA”,”Abu Dhabi International Airport”,88,”AE”
”OMDW”,”Al Maktoum International Airport”,114,”AE”
”OMDB”,”Dubai International Airport”,62,”AE”
”OMSJ”,”Sharjah International Airport”,111,”AE”
